term_en,description_english,description_arabic,term_arabic
GUILTY,A court decision that a defendant committed a crime.,منعني، دلالة المحكمة على أن المتهم ارتكب جريمة.,منعني
GUILTY PLEA,When a person admits in court that he or she is guilty of a crime.,اقرار بالذنب – الاعتراف الذاتي في المحكمة بأن الذات ارتكبت جريمة.,اقرار بالذنب
HABEAS CORPUS,The name of a writ used to bring a person before a court or judge to decide whether that person is being unlawfully denied his or her freedom. The term comes from Latin.,إصدار يتم تقديم شخص للمحكمة لتقرير إذا كان المتهم محتجزاً في ظروف تنتهك الحقوق الذاتية.,إصدار
HANDCUFFS,Chains or shackles for the hands to secure prisoners.,قيود – أساور الأغلال تكبل بها الأيدي السجناء.,قيود
HARASSMENT,"Words, gestures, and actions which tend to annoy, alarm, and verbally abuse another person.",المضايقة اللفظية – كلمات، إشارات أو افعال تميل إلى إزعاج، تخويف أو سب الغير.,المضايقة اللفظية
HARMLESS ERROR,An error committed during a trial that was corrected or was not serious enough to affect the outcome of a trial and therefore was not sufficiently harmful (prejudicial) to be reversed on appeal.,خطأ جزائي – خطا أثناء المحاكمة كان غير جسيم بما يكفي حتى يؤثر على نتائج القضية بالمحكمة.,خطأ جزائي
HARVEY WAIVER,"The facts, relating to a charge that was dismissed as part of a plea bargain, are “related to” the particular charge for which the minor is being sentenced may be considered at the time of disposition.",تنازل هارفي - الحقائق المتعلقة بتهمة يتم إلغائها كجزء من اتفاق الإقرار، قد تؤخذ بعين الاعتبار بالنسبة للتهمة التي يتم محاكمة القاصر بها.,تنازل هارفي
HEARING,"A formal court proceeding with the judge and opposing sides present, but no jury.",عملية إختيار لجنة التحكيم – إجراءات رسمية بالمحكمة بوجود القاضي وأطراف النزاع المختلفة.,عملية إختيار لجنة التحكيم
"HEARING, CONTESTED",A hearing held for the purpose of deciding issues or fact of law that both parties are disputing.,جلسة مخاصمة - جلسة تعقد لغرض تقرير أو مراجعة الخلافات أو قضايا القانون الناشبة بين الأطراف المتنازعة.,جلسة مخاصمة
HEARING DE NOVO,"A full, new hearing.",محاكمة بشكل – سماع القضية مجددا.,محاكمة بشكل
"HEARING, PRELIMINARY","The hearing given to determine whether there may be a magistrate or judge, to person accused of crime, is enough evidence to warrant the confinement and holding to bail the person accused.",جلسة تحقيقية - جلسة تعقد قبل أي قرار تمهيدي في تحديد بنوع، إذا كانت هناك أدلة كافية تبرر حجز نتيجة الكفالة.,جلسة تحقيقية
HEARSAY,"Statements by a witness who did not see or hear the incident in question, but heard about it from someone else. Hearsay usually can’t be used as evidence in court.",قول مرسل – بيان من شاهد لم ير أو يسمع الحادث بنفسه، بل عن شخص عن علم عن طريق أخر، رغم أنها لا يعتبر كدليل,قول مرسل
HEIR,A person that has the right to inherit money or property from someone who dies without a will.,وريث – الخلف الذي أنتهى الى حق الميراث بما فيها من مال أو من موت.,وريث
HIT AND RUN,Crime in which the driver of a vehicle leaves the scene of an accident without identifying himself or herself.,جريمة الفرار من مسرح الجريمة – حين يفر مركب من مكان حادث محمل دون أن يعرف بنفسه.,جريمة الفرار من مسرح الجريمة
CONDITIONAL RELEASE,"Freedom from custody which regulates the activities and associations of the defendant. If a defendant fails to meet the conditions, the release is cancelled.",الإفراج المشروط - الخروج من السجن تحت شروط معينة تنظم أنشطة وعلاقات المتهم. وبمجرد فشل المتهم في الالتزام بالشروط، يتم إلغاء الإفراج.,الإفراج المشروط
CONDUCT ENHANCEMENTS,A kind of punishment-enhancing allegation (such as the arming clause of Penal Code section 12022) that relates to the nature of the offense at the time the crime was committed.,سلوك يسمى تعزيز العقوبة - نوع من الاتهام يعزز العقوبة، ترتبط بطبيعة الجريمة كما في التسليح ضمن قسم (12022) من قانون العقوبات الذي ينظم حيازة السلاح الناري أثناء ارتكاب الجريمة.,تعزيزات السلوك
CONFESSION,When someone admits out loud or in writing that they committed a certain kind of crime. (Compare with ADMISSION.),اعتراف - عندما يعترف شخص بالصوت العالي أو بالكتابة بأنه ارتكب نوعاً معينا من الجريمة. (مقارنة مع اعتراف).,الاعتراف
CONFESSION OF JUDGMENT,"The act of a debtor in a written statement that permits judgment to be entered against him by his creditor, without legal proceedings.",أقرار أمر - يعترف بالدين المتعثر في بيان كتابي يسمح بإصدار حكم ضده لصالح دائنه بدون إجراءات قانونية.,أقرار حكم
CONFIDENTIAL,A file or record that is not available for public viewing. Authorized viewing allowed only in statute and/or court policy. Files and records are identified and receive special handling.,سري - ملف أو سجل ليس متاحا للعامة للمشاهدة. يسمح بالمشاهدة للأشخاص المخولين فقط بموجب التشريعات أو السياسات القضائية. والملفات والسجلات يتم تحديدها وتتلقى معاملة خاصة.,سري
CONFIDENTIAL RECORD,Information in a court case that is not available to the public.,سجل سري - معلومات في قضية محكمة غير متوفرة للعامة.,سجل سري
CONFIDENTIALITY,Treated as private and not for publication.,سرية - معامل بصفة خاصة وليس للنشر.,السرية
CONFISCATE,To seize or take private property for public use (the police took the weapon).,مصادرة - القبض على ملكيات خاصة لاستعمالها عام (قبضت الشرطة على السلاح),مصادرة
